employee_id,employee_name,region,hire_date,monthly_salary,monthly_sales,num_clients_handled,performance_rating,incentive_percent,department_id,department,annual_budget,head_of_department
1,Jermaine Burgess,North,05-06-2016,94618,377245,34,2,20,4,Marketing,1520961,Kenneth Crawford
2,Sarah Lara,North,23-07-2015,113596,225054,38,4,5,5,Sales,3718752,Katherine Flores MD
3,Peter Pearson,West,16-08-2017,54288,258447,39,5,15,3,HR,4346682,Patrick Braun
4,Crystal Martinez,South,13-01-2024,119947,374710,24,5,5,5,Finance,9528253,Aimee Smith
5,Andrea Matthews,South,20-04-2023,75091,372136,29,3,5,5,IT,5762252,Joshua Love
6,Michael Nicholson,West,02-11-2015,108872,276302,4,2,10,2,Support,6769143,Jared Meyer
7,Jessica Hernandez,West,05-04-2018,89216,296266,41,3,10,3,,,
8,Mary Morrow,West,12-04-2024,107162,378842,30,4,15,3,,,
9,Susan Edwards,North,25-06-2018,88785,236460,14,5,5,3,,,
10,Alexander Hoffman,West,10-07-2023,80997,68882,24,3,10,5,,,
11,Elizabeth Gilbert,North,16-08-2018,99037,386358,38,5,15,4,,,
12,Christopher Manning,West,03-10-2018,80693,368677,34,2,5,3,,,
13,Stacey Hunt,South,30-04-2018,112386,207732,36,4,0,6,,,
14,Brooke Patterson,South,22-03-2024,65712,199310,15,2,0,5,,,
15,Lori Oconnell,West,11-06-2017,116214,490424,35,3,15,2,,,
16,Colleen Lloyd,West,15-03-2024,45905,331043,29,3,0,4,,,
17,Nathan Carroll,North,17-06-2023,31591,290978,36,1,20,6,,,
18,Sydney Ramirez,East,26-05-2018,90159,121756,4,2,15,6,,,
19,Maria Carlson,North,13-04-2020,43522,409706,15,4,15,2,,,
20,Tyler Patterson,South,14-12-2017,111689,313890,11,5,5,4,,,
21,Timothy Ortiz,West,27-06-2016,33572,19167,49,1,20,5,,,
22,Mr. Victor Moody,South,02-09-2016,91680,211537,15,4,15,1,,,
23,Anna Allen,East,25-12-2015,88537,210896,21,2,10,4,,,
24,Johnny Cline,North,27-03-2017,63061,29330,35,5,15,2,,,
25,Megan Carroll,South,16-11-2019,117778,348071,23,4,20,6,,,
26,Stephanie Johnston,North,03-04-2020,96874,431669,10,1,15,5,,,
27,Kathy Whitney MD,West,02-07-2023,90542,252049,4,5,0,4,,,
28,Michelle Hodges,South,15-12-2021,91907,417479,45,2,20,1,,,
29,Melissa Hampton,East,24-01-2018,46151,431071,25,5,10,1,,,
30,Gilbert Silva,North,05-01-2019,110916,488172,2,2,20,3,,,
31,Julie Rhodes,North,24-10-2021,75813,394548,38,3,15,3,,,
32,Timothy Sanchez,East,09-09-2018,82627,308987,19,3,10,2,,,
33,Christian Gordon,South,16-08-2019,56117,252765,24,2,10,4,,,
34,Katherine Avila,South,31-03-2019,98034,130784,8,4,10,4,,,
35,Victoria Hale,North,20-12-2023,55483,230716,6,1,0,6,,,
36,Zachary Oliver,East,16-06-2018,101264,133216,20,3,20,6,,,
37,Aaron Carter,North,20-03-2020,86469,472419,14,4,15,6,,,
38,Brittany Summers,North,15-08-2019,48877,119435,40,5,0,3,,,
39,Megan Fox,West,23-07-2017,92396,351422,6,3,10,4,,,
40,Kathryn Martinez,South,26-06-2022,33088,477548,12,4,15,4,,,
41,Danielle Watson,South,14-03-2020,53179,422136,41,1,5,1,,,
42,Aaron Marshall,West,30-12-2015,77954,108969,7,5,15,3,,,
43,Ashley Marshall,South,17-09-2019,52011,401273,45,3,5,5,,,
44,Kenneth Smith,South,08-07-2015,42839,258677,30,3,5,3,,,
45,James Smith,South,19-10-2023,82903,404448,16,1,10,5,,,
46,Jonathon Mack,East,08-05-2024,93561,87515,8,2,5,1,,,
47,Kevin Garcia,West,17-10-2021,53625,34311,14,3,0,2,,,
48,Todd Brooks,North,11-12-2023,48481,369771,48,2,10,4,,,
49,Adrienne Lam,East,12-10-2021,49558,229016,20,1,5,1,,,
50,Ricardo Franco,North,22-05-2019,112307,247919,28,1,20,4,,,
51,Aaron Washington,West,13-07-2017,61104,85489,6,4,0,6,,,
52,Carrie Bowers,West,12-03-2024,83586,488031,30,3,20,2,,,
53,Hayley Goodwin,West,10-11-2017,74420,40767,4,5,15,2,,,
54,Bethany Sullivan,South,19-11-2023,34061,459781,36,5,0,1,,,
55,Julie Carter,East,13-02-2017,63241,360238,3,1,20,2,,,
56,Carl Campbell,West,11-08-2019,92055,71110,10,5,20,5,,,
57,Raven Howard,North,31-05-2018,111697,30954,38,5,10,2,,,
58,Nancy Campbell,South,13-12-2021,100593,463084,27,5,15,4,,,
59,Ian Boyer,South,03-06-2018,74173,17424,18,4,0,4,,,
60,Heather Smith,East,01-03-2018,35289,265101,45,4,0,4,,,
61,Daniel Rice,East,03-01-2020,95180,344042,11,1,0,4,,,
62,Jessica Wu,East,23-12-2016,32221,229380,36,5,5,5,,,
63,Kenneth Solis,South,08-09-2015,93137,419055,40,1,0,3,,,
64,Alice Fowler,West,09-11-2018,72942,80074,35,1,5,6,,,
65,Janet Montgomery,North,22-08-2017,51635,187802,44,1,10,1,,,
66,Victor Johnson,West,22-10-2023,82763,16644,13,4,5,4,,,
67,Jesus Shepherd DVM,North,20-12-2020,114562,33778,23,4,15,2,,,
68,Bill Scott,West,06-02-2017,81072,270993,43,3,5,4,,,
69,Timothy Harvey,East,10-10-2021,37075,41488,9,5,15,2,,,
70,Dr. Ashley Wells,North,29-12-2018,52378,145422,4,2,15,6,,,
71,Maria Scott,South,08-11-2016,65084,141141,43,4,15,6,,,
72,Brian Brown,North,12-07-2021,80426,434390,40,2,15,6,,,
73,Lee Hunter,South,04-03-2020,109217,428369,31,5,0,2,,,
74,Kimberly Buchanan,West,22-06-2015,61584,279313,3,5,15,4,,,
75,Dwayne Rhodes,East,29-11-2016,61245,210692,36,4,20,6,,,
76,Keith Palmer,North,29-01-2020,88959,139348,17,2,10,5,,,
77,Evan Hunt,South,07-11-2017,34983,154140,16,1,20,2,,,
78,Kristen Nixon,West,05-02-2016,60897,495778,39,1,0,2,,,
79,Derek Moore,East,05-10-2021,70602,416354,2,4,15,4,,,
80,Gloria Montoya,East,18-04-2016,115538,130622,5,2,5,2,,,
81,Gloria Moore,East,20-08-2020,106034,214928,33,4,0,2,,,
82,Natasha Stewart,West,29-04-2020,79411,404722,13,1,10,6,,,
83,Dennis Henry,West,27-05-2024,98742,153352,12,5,5,4,,,
84,Jill Banks,West,05-04-2017,108466,40865,19,4,5,6,,,
85,Sherri Davis,East,12-02-2022,105856,372096,22,1,15,6,,,
86,Sarah Andrews,North,10-04-2018,68126,493320,40,5,10,4,,,
87,William Rich,South,18-12-2019,100043,155183,8,4,10,1,,,
88,Justin Yang,West,10-08-2018,85610,45935,44,4,5,6,,,
89,William Rose,North,14-08-2020,53925,356612,4,1,10,5,,,
90,Gerald Griffin,South,19-08-2015,66276,208087,7,1,20,5,,,
91,Ann Castro,East,29-10-2021,53689,15523,48,5,15,2,,,
92,Matthew Davis,North,19-10-2023,93942,92139,22,3,15,5,,,
93,Brian Lopez,East,07-12-2023,84146,477668,18,5,20,2,,,
94,Joanna Figueroa,South,07-02-2016,45238,63349,6,4,20,1,,,
95,Timothy Whitehead,West,11-07-2018,90424,384437,4,4,10,4,,,
96,George Smith,East,12-09-2015,54807,147989,41,4,5,4,,,
97,Diane Turner PhD,North,24-07-2019,104457,77585,45,1,10,4,,,
98,Andrew Cordova,West,15-12-2017,41204,177625,12,4,20,5,,,
99,Christopher Ingram,North,12-08-2016,95245,214265,48,4,15,1,,,
100,Bruce Zavala,South,26-02-2018,68567,128600,37,5,15,5,,,
101,Margaret Joseph,South,10-02-2022,65697,51730,2,1,15,5,,,
102,Mary Kirk,West,10-01-2020,31530,334417,3,5,10,1,,,
103,Christopher Finley,North,27-09-2017,54297,387571,45,3,20,1,,,
104,Jake Stanley,North,20-03-2017,104838,30679,21,5,5,1,,,
105,Tammy Garza,North,11-10-2015,78906,106200,39,5,10,1,,,
106,Kevin Wong,North,14-05-2017,96251,292649,13,3,15,4,,,
107,Alexander Franklin,South,24-11-2018,105069,446193,48,5,20,3,,,
108,Alexandria Acevedo,North,10-02-2017,90748,260799,14,4,5,3,,,
109,Megan Kline,South,10-10-2018,70295,464757,30,4,0,1,,,
110,Brittney Lee,North,01-12-2021,82464,460183,18,2,10,3,,,
111,Donna Hughes,North,26-05-2023,37223,369362,13,1,0,3,,,
112,Timothy Johnson,East,05-05-2024,43421,23642,14,4,20,1,,,
113,Dennis Mendoza,East,10-10-2022,44066,393832,41,1,0,3,,,
114,Melody Moreno,North,20-09-2019,51576,204931,40,5,15,5,,,
115,Justin Trujillo,South,23-12-2018,112121,460756,25,2,10,2,,,
116,Nathan Nguyen,North,15-02-2021,32140,125197,37,4,5,2,,,
117,Natalie Fleming,East,12-02-2024,89016,93915,27,5,15,1,,,
118,Melissa Brown,North,02-12-2018,71378,436998,23,2,20,4,,,
119,Raymond Schroeder,East,10-03-2020,37370,357165,7,5,10,1,,,
120,Abigail Weber,North,04-02-2016,81750,92842,48,1,20,4,,,
121,Antonio Thomas,West,26-11-2019,42022,266298,10,5,20,2,,,
122,Nicholas Sherman,North,11-12-2015,89222,380431,25,5,20,1,,,
123,Heather Smith,South,03-09-2016,48328,494883,35,5,10,6,,,
124,Alejandro Tyler,East,18-01-2021,32929,375875,24,2,15,5,,,
125,Charles Lee,West,14-02-2023,73727,149284,49,5,20,3,,,
126,Shawn Blackburn,East,11-01-2017,98919,265874,42,2,5,4,,,
127,Candace Williams,East,07-10-2018,82692,289592,11,2,15,6,,,
128,Tammy Perry,South,29-11-2021,79545,360075,20,3,20,3,,,
129,Joseph Mcclain,North,14-07-2019,106647,384257,10,5,10,3,,,
130,Kyle Lopez,South,11-04-2023,78338,233167,21,4,20,1,,,
131,Kenneth Turner,North,09-04-2019,89962,290427,28,2,20,3,,,
132,Karen Mendoza,West,24-12-2023,53161,108294,28,5,0,5,,,
133,Bruce Sanders,South,05-09-2018,38823,242919,27,4,0,6,,,
134,Eric Moss,South,18-02-2018,63089,322262,33,1,15,3,,,
135,Mr. Andre Freeman DVM,East,06-11-2020,90850,130471,4,4,0,1,,,
136,Sean Bates,South,06-10-2020,51053,252995,35,2,10,5,,,
137,Dennis Miller,North,28-01-2018,47447,495834,20,2,0,2,,,
138,Jeffrey Wilson,South,03-03-2021,119841,297233,6,2,10,6,,,
139,Kent Brown,South,23-09-2015,33111,177414,6,3,20,3,,,
140,Scott Ruiz,West,03-07-2019,88820,496443,17,4,15,1,,,
141,Terry Rice,North,29-07-2021,106521,272184,19,5,0,2,,,
142,Caitlin Duffy,East,15-10-2015,98622,180821,49,5,0,2,,,
143,Julia Alexander,North,20-02-2016,82963,452630,17,2,15,4,,,
144,Larry Baldwin,West,09-01-2021,82503,247521,49,4,10,5,,,
145,Belinda Davis,North,01-06-2023,119000,74172,3,1,10,3,,,
146,Jasmine Woods,North,03-10-2019,71918,51992,46,4,0,1,,,
147,Julia Armstrong,South,09-03-2021,101868,175659,34,5,10,4,,,
